City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,portland,45.5234,-122.6762,21.42,75,75,1.54,US,1723219118
1,shimoda,34.6667,138.95,25.87,87,54,3.94,JP,1723219314
2,junin de los andes,-39.9504,-71.0694,10.25,62,86,2.63,AR,1723219129
3,hamilton,39.1834,-84.5333,28.45,58,0,3.09,US,1723219315
4,zyryanovsk,49.7386,84.2719,18.06,80,68,0.96,KZ,1723219315
5,susangerd,31.5608,48.1831,44.61,9,0,7.63,IR,1723219315
6,papatowai,-46.5619,169.4708,4.48,85,67,1.83,NZ,1723219315
7,palpa,-14.5336,-75.1856,22.52,48,8,2.23,PE,1723219316
8,st. john's,47.5649,-52.7093,22.31,52,20,4.63,CA,1723219202
9,haiku-pauwela,20.9219,-156.3051,22.92,84,90,3.13,US,1723219316
10,sitka,57.0531,-135.33,17.99,81,79,1.44,US,1723219316
11,bredasdorp,-34.5322,20.0403,13.18,67,16,8.29,ZA,1723219316
12,bukama,-9.2,25.85,31.43,16,63,2.02,CD,1723219316
13,albany,42.6001,-73.9662,22.46,98,100,5.57,US,1723219100
14,bataipora,-22.2953,-53.2711,14.87,45,100,5.17,BR,1723219317
15,kristiansund,63.1115,7.732,19.36,55,0,1.54,NO,1723219317
16,nishinoomote,30.7333,131.0,29.41,77,70,5.52,JP,1723219317
17,waitangi,-43.9535,-176.5597,10.1,64,100,5.1,NZ,1723219317
18,bazarak,35.3129,69.5152,18.91,23,0,5.52,AF,1723219317
19,mount isa,-20.7333,139.5,16.87,45,0,3.09,AU,1723219318
20,vylkove,45.4021,29.586,29.15,42,9,4.91,UA,1723219318
21,metlili chaamba,32.2667,3.6333,41.52,12,0,5.14,DZ,1723219271
22,adamstown,-25.066,-130.1015,20.04,76,46,12.85,PN,1723219318
23,olonkinbyen,70.9221,-8.7187,5.16,98,100,7.36,SJ,1723219318
24,kiunga,-6.1219,141.2906,22.33,98,67,1.6,PG,1723219318
25,freetown,8.484,-13.2299,26.84,65,75,5.14,SL,1723219319
26,qui nhon,13.7667,109.2333,28.37,76,62,2.7,VN,1723219319
27,ghat,24.9647,10.1728,40.77,8,97,4.98,LY,1723219319
28,gadzhiyevo,69.2551,33.3362,19.9,45,0,5.61,RU,1723219319
29,port-aux-francais,-49.35,70.2167,2.74,81,59,16.94,TF,1723219319
